설립구분,표준학교코드,학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,설립일자,개교기념일,시도교육청코드,적재일시,위도,경도
공립,7041137,서울신대림초등학교,서울특별시남부교육지원청,7439,서울특별시 영등포구 대림로8길 25,(대림동),19950110,19950420,B10,20230326,37.4921905,126.9059426
공립,7041136,서울신구로초등학교,서울특별시남부교육지원청,8299,서울특별시 구로구 가마산로27길 69,(구로동/서울신구로초등학교),19821026,19821026,B10,20230326,37.4993865,126.8893104
공립,7041135,서울시흥초등학교,서울특별시남부교육지원청,8627,서울특별시 금천구 독산로23길 26,/ 서울시흥초등학교 (시흥동),19110701,19110701,B10,20230326,37.4548042,126.9048667
공립,7041134,서울세곡초등학교,서울특별시남부교육지원청,8245,서울특별시 구로구 고척로33길 34,(고척동/세곡초등학교),19721101,19721101,B10,20230326,37.5047112,126.8491696
공립,7041133,서울선유초등학교,서울특별시남부교육지원청,7210,서울특별시 영등포구 선유로43가길 14,(양평동3가/ 서울선유초등학교),20070301,20070501,B10,20230326,37.5326484,126.8926503
공립,7041132,서울백산초등학교,서울특별시남부교육지원청,8650,서울특별시 금천구 시흥대로38길 78,(시흥동/ 백산초등학교),19730810,19740326,B10,20230326,37.4470039,126.9050089
공립,7041131,서울미래초등학교,서울특별시남부교육지원청,8288,서울특별시 구로구 새말로 73,/ 서울미래초등학교 (구로동),20020301,20020301,B10,20230326,37.5050456,126.8880056
공립,7041130,서울문성초등학교,서울특별시남부교육지원청,8540,서울특별시 금천구 시흥대로 460,/ 서울문성초등학교  (독산동),19551207,19560406,B10,20230326,37.4745882,126.8993532
공립,7041129,서울문백초등학교,서울특별시남부교육지원청,8634,서울특별시 금천구 시흥대로47길 43-1,(시흥동/ 문백초등학교),19810713,19810918,B10,20230326,37.4470805,126.8993032
공립,7041128,서울문래초등학교,서울특별시남부교육지원청,7295,서울특별시 영등포구 문래로 104,(문래동3가/ 문래초등학교),19850710,19851029,B10,20230326,37.518651,126.8933009
