관리번호,분류,대표명,주소,경도,위도,사업장명,지번주소,도로명주소,
370,대형슈퍼,롯데슈퍼,서울특별시 송파구 잠실동,127.083001,37.5121364,롯데쇼핑(주)롯데슈퍼신천점,서울특별시 송파구 잠실동 19-8호,서울특별시 송파구 올림픽로 111 (잠실동),"X :127.083001, Y :37.5121364"
371,대형슈퍼,롯데슈퍼,서울특별시 송파구 잠실동,127.086211,37.5106295,롯데쇼핑(주)롯데슈퍼잠실3동점,서울특별시 송파구 잠실동 35-2호,서울특별시 송파구 석촌호수로 61 (잠실동),"X :127.086211, Y :37.5106295"
372,대형할인마트,롯데마트,서울특별시 송파구 문정동,127.117727,37.4917267,롯데쇼핑(주)롯데마트 송파점,서울특별시 송파구 문정동 150-2호,서울특별시 송파구 중대로 80 (문정동),"X :127.117727, Y :37.4917267"
373,백화점,롯데백화점,서울특별시 송파구 잠실동,127.097998,37.5112601,롯데백화점 잠실점,서울특별시 송파구 잠실동 40-1호,서울특별시 송파구 올림픽로 240 (잠실동),"X :127.097998, Y :37.5112601"
374,대형슈퍼,롯데슈퍼,서울특별시 용산구 남영동,126.97185,37.5422001,롯데프레시 갈월점,서울특별시 용산구 남영동 93-30호,서울특별시 한강대로77길 12,"X :126.971850, Y :37.5422001"
375,대형할인마트,롯데마트,서울특별시 송파구 잠실동,127.097998,37.5112601,롯데마트(주) 롯데마트 제타플렉스,서울특별시 송파구 잠실동 40-1호,서울특별시 송파구 올림픽로 240 (잠실동),"X :127.097998, Y :37.5112601"
376,대형슈퍼,롯데슈퍼,서울특별시 강서구 화곡동,126.846521,37.5316057,롯데쇼핑(주)롯데슈퍼화곡점,서울특별시 강서구 화곡동 343-52호,서울특별시 강서구 강서로 43 (화곡동),"X :126.846521, Y :37.5316057"
377,대형슈퍼,롯데슈퍼,서울특별시 강서구 방화동,126.807701,37.5719759,롯데쇼핑(주)롯데슈퍼개화산점,서울특별시 강서구 방화동 533-9호,서울특별시 양천로6길 15,"X :126.807701, Y :37.5719759"
378,종합쇼핑몰,롯데몰,서울특별시 강서구 방화동,126.802954,37.5650124,롯데몰 김포공항,서울특별시 강서구 방화동 886-외6필지,"서울특별시 강서구 하늘길 38 (방화동, 롯데몰 김포공항)","X :126.802954, Y :37.5650124"
379,백화점,신세계백화점,서울특별시 중구 회현동1가,126.979595,37.5603568,신세계백화점메사점,서울특별시 중구 회현동1가 204-메사빌딩,"서울특별시 중구 남대문시장10길 2 (회현동1가,메사빌딩)","X :126.979595, Y :37.5603568"
