ÁÂÇ¥Á¤º¸(X),ÁÂÇ¥Á¤º¸(Y)
203599.0628,444556.0623
209995.6128,446691.346
211693.9328,443503.4279
209074.9008,445657.8093
208187.6235,445589.7186
209074.9008,445657.8093
,
213247.1961,444020.5685
206397.348,444963.2339
208045.233,445054.4108
210264.3557,444937.5802
209440.7265,444369.4957
211053.1195,442026.9888
213279.7811,443674.6829
208187.6235,445589.7186
211217.0019,445334.1517
211259.9098,443711.7029
210057.9121,444767.3676
209039.148,446007.9668
208589.3633,445455.9041
211259.9098,443711.7029
210908.9845,445042.9203
211619.368,445963.3849
208233.927,445435.2576
212800.7,443397.2619
208675.8128,444446.0535
211217.0019,445334.1517
210391.462,443796.027
210378.825,447916.0439
207875.5963,444672.586
209394.2313,443951.2369
211822.1007,443697.7397
214293.0853,450636.6264
210694.9893,447815.9863
211838.3543,447195.6768
211025.925,448495.1892
211252.7355,448823.3988
211238.6611,448150.5958
212081.0199,448209.1248
212501.3691,449282.3104
212624.8914,448937.8114
212676.1622,449910.8816
210931.6435,448522.0798
213700.8777,450278.1009
213493.9072,450038.8473
212334.9585,450346.7907
211868.2443,450020.3552
211185.4977,447670.8521
213048.6922,450124.1057
212349.3738,448466.1056
210566.8756,447402.6297
211279.0302,448548.8197
213700.8777,450278.1009
212082.0142,450348.7936
197071.4032,447073.6228
197101.1275,448437.0679
209074.9008,445657.8093
209074.9008,445657.8093
210057.9121,444767.3676
210274.1855,447307.6498
209576.622,445779.101
207270.219,445550.2772
207553.9182,445383.338
208836.1921,445807.7274
210343.6993,443288.285
208589.3633,445455.9041
197443.8818,448884.9576
208589.3633,445455.9041
186366.0134,447719.8367
182944.7314,452207.4273
182524.8238,451438.2509
196727.5358,447868.1283
185824.4285,450866.2521
211055.4862,448786.6974
198129.4355,450900.2397
200703.6256,451836.4583
200894.4785,451877.0808
198263.9084,450960.763
205170.9358,454707.5241
204081.2821,453187.3952
190352.3217,447095.6412
200576.6086,445241.8984
200367.985,445207.6635
200576.6086,445335.6672
,
200611.6813,449633.1352
195564.3758,449186.9333
194648.7593,449239.3147
197243.2153,450655.1042
190704.9043,440940.3844
191503.3861,447289.5484
193301.8858,443151.5613
191581.5003,446108.8072
198259.6536,451392.1982
198315.5327,451248.1416
201621.3317,456272.2617
204208.6312,457844.348
201548.4956,455659.8179
193083.7657,455978.0106
206217.4347,448506.2187
208394.4164,448165.28
